Location;Industry;Subcategory_ID;Hierarchy_Level;Data_Type;Global_Brand_Owner;Unit;Year_text;Year_date;Year_minus_2016;Volume
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anheuser-Busch InBev NV;million litres;2016;31-12-16;4;35506,37732
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Heineken NV;million litres;2016;Saturday, 31 Dec 2016;4;18482,5958
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Carlsberg A/S;million litres;2016;31-12-16;4;11121,69868
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Dragonyte Brewery;million litres;2016;31-Dec-16;4;6252,38259
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Tsingtao Brewery Co Ltd;million litres;2016;31 12 2016;4;7834,494901
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Asahi Group Holdings Ltd;million litres;2016;31 12 2016;4;2446,943741
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Beijing Yanjing Brewery Co Ltd;million litres;2016;31 12 2016;4;5373,662882
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Kirin Holdings Co Ltd;million litres;2016;Sat, 31 December 2016;4;4770,918623
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Diageo Plc;million litres;2016;31-Dec-16;4;1926,566783
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;San Miguel Corp;million litres;2016;31-12-16;4;1549,127299
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Castel Groupe;million litres;2016;Saturday, 31 Dec 2016;4;1670,209463
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Saigon Alcohol Beer & Beverages Corp (Sabeco);million litres;2016;31 12 2016;4;1242,829771
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Cervejaria PetrÃ³polis SA;million litres;2016;31-12-16;4;1463,857554
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Anadolu Group;million litres;2016;31-Dec-16;4;2365,222039
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Suntory Holdings Ltd;million litres;2016;31-12-16;4;1622,630286
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Oetker-Gruppe;million litres;2016;31 12 2016;4;1239,428524
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;UB Group;million litres;2016;Saturday, 31 Dec 2016;4;1155,34743
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Henan Jinxing Brewery Group;million litres;2016;Saturday, 31 Dec 2016;4;1629,870008
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Guangzhou Zhujiang Brewery Co Ltd;million litres;2016;31 12 2016;4;1174,469918
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Grupo Mahou-San Miguel SA;million litres;2016;31-12-16;4;1036,747807
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Boon Rawd Brewery Co Ltd;million litres;2016;31-12-16;4;1185,850135
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Thai Beverage PCL;million litres;2016;31-12-16;4;757,9420818
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Sapporo Holdings Ltd;million litres;2016;31-12-16;4;771,7816623
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;CÃ­a CervecerÃ­as Unidas SA;million litres;2016;Saturday, 31 Dec 2016;4;733,1682916
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Bitburger Braugruppe GmbH;million litres;2016;31 12 2016;4;766,5057202
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Hite Jinro Co Ltd;million litres;2016;31-Dec-16;4;746,5450661
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Oettinger Brauerei GmbH;million litres;2016;31-12-16;4;711,0584311
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Hanoi Alcohol Beer & Beverages Corp (Habeco);million litres;2016;31 12 2016;4;494,9522422
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Obolon PAT;million litres;2016;Sat, 31 December 2016;4;1115,775319
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Empresas Polar CA;million litres;2016;31 12 2016;4;1554,527853
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Krombacher Brauerei Bhd Schadeberg GmbH & Co KG;million litres;2016;31 12 2016;4;548,4756115
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Cia da UniÃ£o de Cervejas de Angola SA;million litres;2016;31 12 2016;4;389,3126517
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Damm SA;million litres;2016;31 12 2016;4;417,4135883
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Paulaner Brauerei GmbH & Co KG;million litres;2016;31-12-16;4;334,3949527
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Florida Ice & Farm Co SA;million litres;2016;31 12 2016;4;356,1170442
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Brauerei C & A Veltins GmbH & Co KG;million litres;2016;31 12 2016;4;306,566069
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Taiwan Tobacco & Liquor Corp;million litres;2016;Saturday, 31 Dec 2016;4;347,3104136
;;;;;;;;;;
8;Alcoholic Drinks;13;1;Total Volume;Yuengling Brewery;million litres;2016;31 12 2016;4;294,3299795
;;;;;;;;;;
