Country,Continent,Region
Kosovo,Europe,Balkans
Afghanistan,Asia,Central Asia
Western Sahara,Africa,North Africa
Albania,Europe,Balkans
Algeria,Africa,North Africa
,,
Andorra,Europe,Southern Europe
Angola,Africa,Central Africa
,,
Antigua and Barbuda,North America,Caribbean
Argentina,South America,Latin America
Armenia,Europe,Transcaucasia
Aruba,North America,Caribbean
Australia,Oceania,Australasia
Austria,Europe,Western Europe
Azerbaijan,Europe,Transcaucasia
Bahamas,North America,Caribbean
Bahrain,Asia,Middle East
Bangladesh,Asia,South Asia
Barbados,North America,Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,North America,Caribbean
Benin,Africa,West Africa
Bermuda,North America,Caribbean
Bhutan,Asia,South Asia
Bolivia,South America,Latin America
Bosnia and Herzegovina,Europe,Balkans
Botswana,Africa,Southern Africa
Brazil,South America,Latin America
,,
Brunei,Asia,SouthEast Asia
Bulgaria,Europe,Balkans
Burkina Faso,Africa,West Africa
Burundi,Africa,East Africa
Cambodia,Asia,SouthEast Asia
Cameroon,Africa,Central Africa
Canada,North America,USA/Canada
Cape Verde,Africa,West Africa
Cayman Islands,North America,Caribbean
Central African Republic,Africa,Central Africa
Chad,Africa,Central Africa
,,
Chile,South America,Latin America
China,Asia,Far East
,,
,,
Colombia,South America,Latin America
Comoros,Africa,East Africa
"Congo, Dem. Rep.",Africa,Central Africa
"Congo, Rep.",Africa,Central Africa
,,
Costa Rica,North America,Latin America
Cote d'Ivoire,Africa,West Africa
Croatia,Europe,Balkans
Cuba,North America,Latin America
Cyprus,Europe,Southern Europe
Czech Republic,Europe,Eastern Europe
,,
Denmark,Europe,Northern Europe
Djibouti,Africa,East Africa
Dominica,North America,Caribbean
Dominican Republic,North America,Latin America
,,
Ecuador,South America,Latin America
Egypt,Africa,Middle East
El Salvador,North America,Latin America
Equatorial Guinea,Africa,Central Africa
Eritrea,Africa,East Africa
,,
Estonia,Europe,Northern Europe
Ethiopia,Africa,East Africa
,,
,,
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
,,
,,
Gabon,Africa,Central Africa
Gambia,Africa,West Africa
Georgia,Europe,Transcaucasia
Germany,Europe,Western Europe
Ghana,Africa,West Africa
,,
Greece,Europe,Southern Europe
