,Location,Industry,Edition,Category,Subcategory,Hierarchy_Level,Data_Type,Outlet,Outlet_Hierarchy,Unit,Year_text,Year_date,Volume,Volume_liters
0,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,31/12/2007,2613.845506,2613845506.0
1,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,31/12/2008,2513.025824,2513025824.0
2,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,31/12/2009,2421.088595,2421088595.0
3,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,31/12/2010,2422.128432,2422128432.0
4,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,31/12/2011,2439.33622,2439336220.0
5,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,31/12/2012,2350.706878,2350706878.0
6,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,31/12/2013,2334.371075,2334371075.0
7,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,31/12/2014,2411.08918,2411089180.0
8,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,31/12/2015,2514.830016,2514830016.0
9,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,31/12/2016,2541.507631,2541507631.0
10,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,31/12/2017,2693.28005,2693280050.0
11,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,31/12/2018,2842.976953,2842976953.0
12,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,31/12/2019,2992.020037,2992020037.0
13,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,31/12/2020,3129.02332,3129023320.0
14,Asia Pacific,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,31/12/2021,3230.097024,3230097024.0
15,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,31/12/2007,1527.323946,1527323946.0
16,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,31/12/2008,1560.079203,1560079203.0
17,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,31/12/2009,1603.217792,1603217792.0
18,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,31/12/2010,1623.818046,1623818046.0
19,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,31/12/2011,1651.190297,1651190297.0
20,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,31/12/2012,1687.361082,1687361082.0
21,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,31/12/2013,1674.914394,1674914394.0
22,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,31/12/2014,1628.408856,1628408856.0
23,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,31/12/2015,1593.177076,1593177076.0
24,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,31/12/2016,1511.083599,1511083599.0
25,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,31/12/2017,1494.300042,1494300042.0
26,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,31/12/2018,1482.403794,1482403794.0
27,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,31/12/2019,1462.889904,1462889904.0
28,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,31/12/2020,1475.318219,1475318219.0
29,Australasia,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,31/12/2021,1481.95942,1481959420.0
30,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,31/12/2007,519.1570874,519157087.40000004
31,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,31/12/2008,498.6295535,498629553.5
32,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,31/12/2009,525.5636082,525563608.2
33,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2010,31/12/2010,673.0312344,673031234.4
34,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2011,31/12/2011,816.6885596,816688559.5999999
35,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2012,31/12/2012,908.3348745,908334874.5
36,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2013,31/12/2013,951.7625705,951762570.5
37,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2014,31/12/2014,954.5248795,954524879.5
38,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2015,31/12/2015,1041.447991,1041447991.0
39,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2016,31/12/2016,1225.809768,1225809768.0
40,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2017,31/12/2017,1272.608979,1272608979.0
41,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2018,31/12/2018,1275.200171,1275200171.0
42,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2019,31/12/2019,1245.600776,1245600776.0
43,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2020,31/12/2020,1281.698565,1281698565.0
44,Eastern Europe,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2021,31/12/2021,1314.849126,1314849126.0
45,Latin America,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2007,31/12/2007,2851.480547,2851480547.0
46,Latin America,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2008,31/12/2008,3012.87936,3012879360.0
47,Latin America,Alcoholic Drinks,2022,Beer,Beer,1,Off-trade Volume,Food/drink/tobacco specialists,3,million litres,2009,31/12/2009,3204.334693,3204334693.0
