,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,Volume_liters
0,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anheuser-Busch InBev NV,million litres,2016.0,31-12-2016,4.0,35506.37732,35506377320.0
1,World,Alcoholic Drinks,Beer,1.0,Total Volume,Heineken NV,million litres,2016.0,31-12-2016,4.0,18482.5958,18482595800.0
2,World,Alcoholic Drinks,Beer,1.0,Total Volume,Carlsberg A/S,million litres,2016.0,31-12-2016,4.0,11121.69868,11121698680.0
3,World,Alcoholic Drinks,Beer,1.0,Total Volume,Dragonyte Brewery,million litres,2016.0,31-12-2016,4.0,6252.38259,6252382590.0
4,World,Alcoholic Drinks,Beer,1.0,Total Volume,Tsingtao Brewery Co Ltd,million litres,2016.0,31-12-2016,4.0,7834.494901,7834494901.0
5,World,Alcoholic Drinks,Beer,1.0,Total Volume,Asahi Group Holdings Ltd,million litres,2016.0,31-12-2016,4.0,2446.943741,2446943741.0
6,World,Alcoholic Drinks,Beer,1.0,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2016.0,31-12-2016,4.0,5373.662882,5373662882.0
7,World,Alcoholic Drinks,Beer,1.0,Total Volume,Kirin Holdings Co Ltd,million litres,2016.0,31-12-2016,4.0,4770.918623,4770918623.0
8,World,Alcoholic Drinks,Beer,1.0,Total Volume,Diageo Plc,million litres,2016.0,31-12-2016,4.0,1926.566783,1926566783.0
9,World,Alcoholic Drinks,Beer,1.0,Total Volume,San Miguel Corp,million litres,2016.0,31-12-2016,4.0,1549.127299,1549127299.0
10,World,Alcoholic Drinks,Beer,1.0,Total Volume,Castel Groupe,million litres,2016.0,31-12-2016,4.0,1670.209463,1670209463.0
11,World,Alcoholic Drinks,Beer,1.0,Total Volume,Saigon Alcohol Beer & Beverages Corp (Sabeco),million litres,2016.0,31-12-2016,4.0,1242.829771,1242829771.0
12,World,Alcoholic Drinks,Beer,1.0,Total Volume,Cervejaria PetrÃ³polis SA,million litres,2016.0,31-12-2016,4.0,1463.857554,1463857554.0
13,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anadolu Group,million litres,2016.0,31-12-2016,4.0,2365.222039,2365222039.0
14,World,Alcoholic Drinks,Beer,1.0,Total Volume,Suntory Holdings Ltd,million litres,2016.0,31-12-2016,4.0,1622.630286,1622630286.0
15,World,Alcoholic Drinks,Beer,1.0,Total Volume,Oetker-Gruppe,million litres,2016.0,31-12-2016,4.0,1239.428524,1239428524.0
16,World,Alcoholic Drinks,Beer,1.0,Total Volume,UB Group,million litres,2016.0,31-12-2016,4.0,1155.34743,1155347430.0
17,World,Alcoholic Drinks,Beer,1.0,Total Volume,Henan Jinxing Brewery Group,million litres,2016.0,31-12-2016,4.0,1629.870008,1629870008.0
18,World,Alcoholic Drinks,Beer,1.0,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2016.0,31-12-2016,4.0,1174.469918,1174469918.0
19,World,Alcoholic Drinks,Beer,1.0,Total Volume,Grupo Mahou-San Miguel SA,million litres,2016.0,31-12-2016,4.0,1036.747807,1036747807.0
20,World,Alcoholic Drinks,Beer,1.0,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2016.0,31-12-2016,4.0,1185.850135,1185850135.0
21,World,Alcoholic Drinks,Beer,1.0,Total Volume,Thai Beverage PCL,million litres,2016.0,31-12-2016,4.0,757.9420818,757942081.8
22,World,Alcoholic Drinks,Beer,1.0,Total Volume,Sapporo Holdings Ltd,million litres,2016.0,31-12-2016,4.0,771.7816623,771781662.3
23,World,Alcoholic Drinks,Beer,1.0,Total Volume,CÃ­a CervecerÃ­as Unidas SA,million litres,2016.0,31-12-2016,4.0,733.1682916,733168291.6
24,World,Alcoholic Drinks,Beer,1.0,Total Volume,Bitburger Braugruppe GmbH,million litres,2016.0,31-12-2016,4.0,766.5057202,766505720.2
25,World,Alcoholic Drinks,Beer,1.0,Total Volume,Hite Jinro Co Ltd,million litres,2016.0,31-12-2016,4.0,746.5450661,746545066.1
26,World,Alcoholic Drinks,Beer,1.0,Total Volume,Oettinger Brauerei GmbH,million litres,2016.0,31-12-2016,4.0,711.0584311,711058431.1
27,World,Alcoholic Drinks,Beer,1.0,Total Volume,Hanoi Alcohol Beer & Beverages Corp (Habeco),million litres,2016.0,31-12-2016,4.0,494.9522422,494952242.2
28,World,Alcoholic Drinks,Beer,1.0,Total Volume,Obolon PAT,million litres,2016.0,31-12-2016,4.0,1115.775319,1115775319.0
29,World,Alcoholic Drinks,Beer,1.0,Total Volume,Empresas Polar CA,million litres,2016.0,31-12-2016,4.0,1554.527853,1554527853.0
30,World,Alcoholic Drinks,Beer,1.0,Total Volume,Krombacher Brauerei Bhd Schadeberg GmbH & Co KG,million litres,2016.0,31-12-2016,4.0,548.4756115,548475611.5
31,World,Alcoholic Drinks,Beer,1.0,Total Volume,Cia da UniÃ£o de Cervejas de Angola SA,million litres,2016.0,31-12-2016,4.0,389.3126517,389312651.7
32,World,Alcoholic Drinks,Beer,1.0,Total Volume,Damm SA,million litres,2016.0,31-12-2016,4.0,417.4135883,417413588.3
33,World,Alcoholic Drinks,Beer,1.0,Total Volume,Paulaner Brauerei GmbH & Co KG,million litres,2016.0,31-12-2016,4.0,334.3949527,334394952.7
34,World,Alcoholic Drinks,Beer,1.0,Total Volume,Florida Ice & Farm Co SA,million litres,2016.0,31-12-2016,4.0,356.1170442,356117044.2
35,World,Alcoholic Drinks,Beer,1.0,Total Volume,Brauerei C & A Veltins GmbH & Co KG,million litres,2016.0,31-12-2016,4.0,306.566069,306566069.0
36,World,Alcoholic Drinks,Beer,1.0,Total Volume,Taiwan Tobacco & Liquor Corp,million litres,2016.0,31-12-2016,4.0,347.3104136,347310413.6
37,World,Alcoholic Drinks,Beer,1.0,Total Volume,Yuengling Brewery,million litres,2016.0,31-12-2016,4.0,294.3299795,294329979.5
38,World,Alcoholic Drinks,Beer,1.0,Total Volume,Warsteiner Brauerei Haus Cramer GmbH & Co KG,million litres,2016.0,31-12-2016,4.0,379.5017431,379501743.1
39,World,Alcoholic Drinks,Beer,1.0,Total Volume,Royal Unibrew A/S,million litres,2016.0,31-12-2016,4.0,208.3778782,208377878.2
40,World,Alcoholic Drinks,Beer,1.0,Total Volume,Olvi Oyj,million litres,2016.0,31-12-2016,4.0,279.6438919,279643891.90000004
41,World,Alcoholic Drinks,Beer,1.0,Total Volume,CervecerÃ­a Centroamericana SA,million litres,2016.0,31-12-2016,4.0,144.658509,144658509.0
42,World,Alcoholic Drinks,Beer,1.0,Total Volume,Brau Holding International AG,million litres,2016.0,31-12-2016,4.0,283.9689949,283968994.9
43,World,Alcoholic Drinks,Beer,1.0,Total Volume,"Boston Beer Co Inc, The",million litres,2016.0,31-12-2016,4.0,285.4195146,285419514.6
44,World,Alcoholic Drinks,Beer,1.0,Total Volume,Bavaria NV,million litres,2016.0,31-12-2016,4.0,204.2821003,204282100.29999998
45,World,Alcoholic Drinks,Beer,1.0,Total Volume,BGI Ethiopia Plc,million litres,2016.0,31-12-2016,4.0,110.0000024,110000002.4
46,World,Alcoholic Drinks,Beer,1.0,Total Volume,Ochakovo MPBK ZAO,million litres,2016.0,31-12-2016,4.0,252.4954917,252495491.7
47,World,Alcoholic Drinks,Beer,1.0,Total Volume,Erdinger Privatbrauerei WeissbrÃ¤u Werner Brombach GmbH,million litres,2016.0,31-12-2016,4.0,198.2200553,198220055.3
48,World,Alcoholic Drinks,Beer,1.0,Total Volume,Karlsberg Brauerei GmbH & Co KG,million litres,2016.0,31-12-2016,4.0,217.8092267,217809226.70000002
49,World,Alcoholic Drinks,Beer,1.0,Total Volume,Behnoush Iran Co,million litres,2016.0,31-12-2016,4.0,194.1844036,194184403.6
50,World,Alcoholic Drinks,Beer,1.0,Total Volume,"Cisneros, Grupo",million litres,2016.0,31-12-2016,4.0,317.5936067,317593606.7
51,World,Alcoholic Drinks,Beer,1.0,Total Volume,Asia Brewery Inc,million litres,2016.0,31-12-2016,4.0,478.6144925,478614492.5
52,World,Alcoholic Drinks,Beer,1.0,Total Volume,SABMiller Plc,million litres,2016.0,31-12-2016,4.0,18146.17543,18146175430.0
53,World,Alcoholic Drinks,Beer,1.0,Total Volume,Unicer - Bebidas de Portugal SA,million litres,2016.0,31-12-2016,4.0,279.0627358,279062735.8
54,World,Alcoholic Drinks,Beer,1.0,Total Volume,China Resources Enterprise Ltd,million litres,2016.0,31-12-2016,4.0,10619.6407,10619640700.0
55,World,Alcoholic Drinks,Beer,1.0,Total Volume,Pabst Brewing Co,million litres,2016.0,31-12-2016,4.0,1101.574601,1101574601.0
56,World,Alcoholic Drinks,Beer,1.0,Total Volume,Oriental Brewery Co Ltd,million litres,2016.0,31-12-2016,4.0,1080.866152,1080866152.0
57,World,Alcoholic Drinks,Beer,1.0,Total Volume,Nantong Fuhao Alcohol Industry Co Ltd,million litres,2016.0,31-12-2016,4.0,364.0999947,364099994.70000005
58,World,Alcoholic Drinks,Beer,1.0,Total Volume,"Modelo SA de CV, Grupo",million litres,2016.0,31-12-2016,4.0,5578.175039,5578175039.0
59,World,Alcoholic Drinks,Beer,1.0,Total Volume,Chongqing Brewery Co Ltd,million litres,2016.0,31-12-2016,4.0,1140.302459,1140302459.0
60,World,Alcoholic Drinks,Beer,1.0,Total Volume,Kingway Brewery Holdings Ltd,million litres,2016.0,31-12-2016,4.0,764.690083,764690083.0
61,World,Alcoholic Drinks,Beer,1.0,Total Volume,Lanzhou Huanghe Beer Co Ltd,million litres,2016.0,31-12-2016,4.0,281.5400094,281540009.4
62,World,Alcoholic Drinks,Beer,1.0,Total Volume,Private Label,million litres,2016.0,31-12-2016,4.0,1735.877818,1735877818.0
63,World,Alcoholic Drinks,Beer,1.0,Total Volume,Others,million litres,2016.0,31-12-2016,4.0,30053.86642,30053866420.0
64,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anheuser-Busch InBev NV,million litres,2017.0,31-12-2017,5.0,39275.08273,39275082730.0
65,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anheuser-Busch InBev NV,million litres,2018.0,31-12-2018,6.0,41143.35765,41143357650.0
66,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anheuser-Busch InBev NV,million litres,2019.0,31-12-2019,7.0,41080.236,41080236000.0
67,World,Alcoholic Drinks,Beer,1.0,Total Volume,Anheuser-Busch InBev NV,million litres,2020.0,31-12-2020,8.0,52147.56899,52147568990.0
