id,Region,Country
1,Asia Pacific,China
2,Asia Pacific,India
3,Asia Pacific,Japan
4,Asia Pacific,South Korea
5,Asia Pacific,Indonesia
6,Asia Pacific,Thailand
7,Asia Pacific,Vietnam
8,Asia Pacific,Malaysia
9,Asia Pacific,Singapore
10,Asia Pacific,Philippines
11,Australasia,Australia
12,Australasia,New Zealand
13,Eastern Europe,Russia
14,Eastern Europe,Poland
15,Eastern Europe,Ukraine
16,Eastern Europe,Hungary
17,Eastern Europe,Czech Republic
18,Eastern Europe,Romania
19,Eastern Europe,Bulgaria
20,Latin America,Brazil
21,Latin America,Mexico
22,Latin America,Argentina
23,Latin America,Chile
24,Latin America,Colombia
25,Latin America,Peru
26,Latin America,Venezuela
27,Middle East and Africa,Saudi Arabia
28,Middle East and Africa,South Africa
29,Middle East and Africa,Egypt
30,Middle East and Africa,Iran
31,Middle East and Africa,Nigeria
32,Middle East and Africa,Turkey
33,Middle East and Africa,Israel
34,North America,United States
35,North America,Canada
36,Western Europe,Germany
37,Western Europe,France
38,Western Europe,United Kingdom
39,Western Europe,Italy
40,Western Europe,Spain
41,Western Europe,Netherlands
42,Western Europe,Switzerland
43,Western Europe,Belgium
44,Western Europe,Austria
45,Western Europe,Sweden
